"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"Insufficiently active (crude estimate)","Published","2010","Europe","Andorra","18+  years","Male","27.2 [8.9-65.3]","27.23231","8.93213","65.29632",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Andorra","18+  years","Female","29.7 [8.3-66.1]","29.71188","8.29203","66.05636",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Andorra","18+  years","Both sexes","30.9 [15.6-72.6]","30.94725","15.58482","72.61274",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Andorra","18+  years","Female","34.7 [10.2-69.8]","34.66219","10.19042","69.79644",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","United Arab Emirates","18+  years","Male","27 [8.8-68.5]","27.04119","8.79582","68.46014",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","United Arab Emirates","18+  years","Both sexes","30.2 [9.6-70.9]","30.21906","9.60160","70.91517",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","United Arab Emirates","18+  years","Male","32.2 [11.3-72.9]","32.18799","11.30176","72.86121",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","United Arab Emirates","18+  years","Both sexes","38.4 [11.9-74.6]","38.38221","11.92174","74.56300",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","United Arab Emirates","18+  years","Female","39.4 [12.9-77.4]","39.42048","12.91863","77.39552",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","United Arab Emirates","18+  years","Female","44.6 [15.7-80.4]","44.57642","15.74041","80.35020",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Argentina","18+  years","Male","35.7 [13.2-76]","35.73732","13.20545","76.03455",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Argentina","18+  years","Male","35.8 [13.2-76.1]","35.78382","13.21358","76.11789",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Argentina","18+  years","Both sexes","39.2 [13.5-76.6]","39.22242","13.45971","76.63578",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Argentina","18+  years","Both sexes","40.1 [13.9-77]","40.06870","13.85884","77.02645",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Argentina","18+  years","Female","42.7 [14.7-78.5]","42.66103","14.73443","78.47488",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Argentina","18+  years","Female","44.1 [15.6-79.3]","44.08274","15.59290","79.25611",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Armenia","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Armenia","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Armenia","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Armenia","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Armenia","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Armenia","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Antigua and Barbuda","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Antigua and Barbuda","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Antigua and Barbuda","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Antigua and Barbuda","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Antigua and Barbuda","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Antigua and Barbuda","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Australia","18+  years","Male","20.1 [5.9-55.8]","20.07011","5.87178","55.77236",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Australia","18+  years","Male","21.5 [6.4-57.5]","21.50863","6.42731","57.47668",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Australia","18+  years","Both sexes","23.8 [6.4-58.9]","23.82263","6.42497","58.87262",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Australia","18+  years","Both sexes","25.8 [7.1-60.8]","25.76335","7.12976","60.76333",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Australia","18+  years","Female","27.6 [7.5-63.2]","27.57515","7.47116","63.16628",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Australia","18+  years","Female","29.9 [8.3-65.1]","29.90329","8.33681","65.11834",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Austria","18+  years","Male","19.2 [5.4-53.4]","19.17680","5.36115","53.44780",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Austria","18+  years","Male","21.1 [6-56.3]","21.06513","5.96838","56.30429",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Austria","18+  years","Both sexes","23.8 [6.3-58.1]","23.82855","6.28748","58.05352",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Austria","18+  years","Both sexes","26.4 [7-61]","26.38743","7.03947","61.00844",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Austria","18+  years","Female","28.5 [7.8-63.6]","28.48031","7.75337","63.55849",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Austria","18+  years","Female","31.3 [8.7-66.5]","31.32893","8.72514","66.52525",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Azerbaijan","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Azerbaijan","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Azerbaijan","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Azerbaijan","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Azerbaijan","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Azerbaijan","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Burundi","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Burundi","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Burundi","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Burundi","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Burundi","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Burundi","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Belgium","18+  years","Male","28.3 [9.6-67.6]","28.32436","9.57566","67.63183",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Belgium","18+  years","Male","31.5 [11.1-70.6]","31.52131","11.08192","70.63820",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Belgium","18+  years","Both sexes","33.2 [10.6-70.5]","33.24541","10.55639","70.53007",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Belgium","18+  years","Both sexes","37.4 [12.6-73.6]","37.36359","12.57127","73.64895",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Belgium","18+  years","Female","38.2 [12.4-74.5]","38.16646","12.41476","74.48682",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Belgium","18+  years","Female","42.9 [15.1-77.6]","42.86274","15.06551","77.55610",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Benin","18+  years","Male","4.3 [2.7-6.3]","4.25106","2.68808","6.31733",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Benin","18+  years","Both sexes","5.4 [4-7.1]","5.42603","4.04710","7.07686",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Benin","18+  years","Male","5.7 [4.2-7.8]","5.71445","4.15147","7.78072",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Benin","18+  years","Female","6.6 [4.3-9.5]","6.56320","4.28383","9.45651",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Benin","18+  years","Both sexes","6.9 [5.6-8.6]","6.93037","5.55143","8.58120",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Benin","18+  years","Female","8.1 [5.9-11]","8.14628","5.86691","11.03960",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Burkina Faso","18+  years","Male","13.5 [10.4-17.1]","13.53594","10.43794","17.09320",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Burkina Faso","18+  years","Male","15.9 [12.8-19.5]","15.94395","12.84596","19.50122",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Burkina Faso","18+  years","Both sexes","16.4 [14-19]","16.39509","14.00844","19.00598",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Burkina Faso","18+  years","Both sexes","18.4 [16.1-21.1]","18.44454","16.05788","21.05543",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Burkina Faso","18+  years","Female","19.1 [15.5-23.1]","19.05044","15.49147","23.05641",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Burkina Faso","18+  years","Female","20.9 [17.4-25]","20.94513","17.38616","24.95110",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Bangladesh","18+  years","Male","10.2 [9.4-11.4]","10.20061","9.42719","11.40649",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Bangladesh","18+  years","Both sexes","25.1 [24.2-26.1]","25.05023","24.20923","26.10411",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Bangladesh","18+  years","Both sexes","26.8 [25.9-27.8]","26.78951","25.94850","27.84339",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Bangladesh","18+  years","Female","41.3 [39.8-43.1]","41.25796","39.82645","43.13232",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Bangladesh","18+  years","Female","43.4 [41.9-45.3]","43.37841","41.94691","45.25277",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Bangladesh","18+  years","Male","9.2 [8.4-10.4]","9.21267","8.43925","10.41856",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Bulgaria","18+  years","Male","18.2 [4.9-53.5]","18.19204","4.88417","53.51021",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Bulgaria","18+  years","Male","19 [5.1-54.6]","19.00657","5.09139","54.62392",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Bulgaria","18+  years","Both sexes","21 [5.2-54.3]","20.97681","5.18939","54.33238",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Bulgaria","18+  years","Both sexes","23 [5.7-56.7]","22.97489","5.67650","56.71149",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Bulgaria","18+  years","Female","23.8 [6-57]","23.76158","5.97120","56.97619",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Bulgaria","18+  years","Female","26.7 [6.8-60.6]","26.65940","6.84197","60.61094",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Bahrain","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Bahrain","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Bahrain","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Bahrain","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Bahrain","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Bahrain","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Bahamas","18+  years","Male","28.5 [19.9-38.2]","28.46528","19.85625","38.20926",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Bahamas","18+  years","Male","29.6 [21-39.3]","29.58137","20.97234","39.32535",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Bahamas","18+  years","Both sexes","43 [36.5-49.6]","42.98857","36.54715","49.63824",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Bahamas","18+  years","Both sexes","43 [36.5-49.6]","42.96082","36.51940","49.61049",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Bahamas","18+  years","Female","56.3 [47.3-65.2]","56.34026","47.27879","65.23273",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Bahamas","18+  years","Female","56.5 [47.4-65.4]","56.46270","47.40123","65.35517",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Bosnia and Herzegovina","18+  years","Male","15.8 [4.3-45.9]","15.82288","4.26313","45.89054",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Bosnia and Herzegovina","18+  years","Male","17 [4.6-47.8]","16.98507","4.59092","47.82079",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Bosnia and Herzegovina","18+  years","Both sexes","18.1 [4.8-48.5]","18.10403","4.77864","48.48132",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Bosnia and Herzegovina","18+  years","Female","20.4 [5.2-49.9]","20.38518","5.17628","49.90610",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Bosnia and Herzegovina","18+  years","Both sexes","20.6 [5.7-51.8]","20.61831","5.65970","51.83557",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Bosnia and Herzegovina","18+  years","Female","24 [6.5-54.3]","23.99032","6.48206","54.28978",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Belarus","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Belarus","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Belarus","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Belarus","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Belarus","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Belarus","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Belize","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Belize","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Belize","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Belize","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Belize","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Belize","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Bolivia (Plurinational State of)","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Bolivia (Plurinational State of)","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Bolivia (Plurinational State of)","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Bolivia (Plurinational State of)","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Bolivia (Plurinational State of)","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Bolivia (Plurinational State of)","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Brazil","18+  years","Male","24.9 [7.8-63.6]","24.91034","7.81611","63.62921",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Brazil","18+  years","Male","25.9 [8.2-64.6]","25.87610","8.21521","64.61438",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Brazil","18+  years","Both sexes","27.2 [7.8-63.3]","27.23371","7.77964","63.33010",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Brazil","18+  years","Both sexes","27.8 [8-63.9]","27.78961","8.03092","63.94553",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Brazil","18+  years","Female","29.4 [8.3-65.1]","29.41934","8.27970","65.07079",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Brazil","18+  years","Female","29.7 [8.4-65.4]","29.70311","8.39998","65.35583",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Barbados","18+  years","Male","29.3 [23-36]","29.30165","23.02814","36.03783",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Barbados","18+  years","Male","30 [23.7-36.7]","29.98255","23.70904","36.71873",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Barbados","18+  years","Both sexes","37.6 [33.6-41.7]","37.60271","33.57238","41.71314",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Barbados","18+  years","Both sexes","38.7 [34.7-42.8]","38.69499","34.66467","42.80543",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Barbados","18+  years","Female","45.9 [40.7-51.1]","45.90378","40.71885","51.09942",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Barbados","18+  years","Female","47.2 [42-52.4]","47.18258","41.99766","52.37823",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Brunei Darussalam","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Brunei Darussalam","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Brunei Darussalam","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Brunei Darussalam","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Brunei Darussalam","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Brunei Darussalam","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Bhutan","18+  years","Female","10.9 [8.9-13.4]","10.94506","8.85778","13.38499",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Bhutan","18+  years","Female","11.8 [9.7-14.2]","11.77970","9.69242","14.21963",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Bhutan","18+  years","Male","4.8 [3.4-6.5]","4.77112","3.44039","6.54694",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Bhutan","18+  years","Male","5.7 [4.3-7.4]","5.66739","4.33665","7.44321",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Bhutan","18+  years","Both sexes","7.5 [6.3-9]","7.52814","6.27545","8.97725",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Bhutan","18+  years","Both sexes","8.7 [7.5-10.2]","8.72355","7.47085","10.17266",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Botswana","18+  years","Male","18 [8.9-30.2]","18.01163","8.93892","30.18162",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Botswana","18+  years","Male","21.7 [12.6-33.9]","21.71371","12.64100","33.88370",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Botswana","18+  years","Both sexes","24.5 [16.9-33.3]","24.50028","16.88612","33.34375",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Botswana","18+  years","Both sexes","27.2 [19.6-36]","27.18129","19.56713","36.02476",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Botswana","18+  years","Female","31 [19.6-44.3]","30.95976","19.63688","44.31754",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Botswana","18+  years","Female","32.6 [21.3-46]","32.64887","21.32600","46.00666",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Central African Republic","18+  years","Both sexes","10.5 [1.6-20.9]","10.48809","1.61353","20.93880",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Central African Republic","18+  years","Male","10.8 [2-23.9]","10.75621","2.03859","23.90766",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Central African Republic","18+  years","Female","12 [1.9-23.6]","11.99610","1.87655","23.58798",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Central African Republic","18+  years","Both sexes","12 [2-24.2]","12.02963","2.03357","24.19058",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Central African Republic","18+  years","Female","13.3 [2.2-26.3]","13.30305","2.24501","26.25800",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Central African Republic","18+  years","Male","8.9 [1.5-19.9]","8.89731","1.52922","19.92327",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Canada","18+  years","Male","20.3 [5.9-55.6]","20.31643","5.86381","55.56561",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Canada","18+  years","Male","22.2 [6.5-57.9]","22.19349","6.51424","57.90037",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Canada","18+  years","Both sexes","23.2 [6.1-57]","23.23529","6.07799","57.03099",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Canada","18+  years","Both sexes","25.9 [6.9-59.6]","25.85603","6.91021","59.62998",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Canada","18+  years","Female","26.2 [6.9-60.4]","26.15414","6.87109","60.43691",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Canada","18+  years","Female","29.4 [7.9-63.2]","29.39827","7.93789","63.23409",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Switzerland","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Switzerland","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Switzerland","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Switzerland","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Switzerland","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Switzerland","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Chile","18+  years","Male","17.6 [13.8-21.9]","17.55118","13.76101","21.91462",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Chile","18+  years","Male","17.8 [14-22.1]","17.75529","13.96512","22.11873",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Chile","18+  years","Both sexes","21.3 [18.4-24.4]","21.32333","18.43231","24.44322",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Chile","18+  years","Both sexes","21.6 [18.7-24.7]","21.60835","18.71733","24.72824",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Chile","18+  years","Female","24.9 [20.7-29.5]","24.89137","20.69410","29.46295",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Chile","18+  years","Female","25.5 [21.3-30.1]","25.49438","21.29711","30.06596",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","China","18+  years","Male","22.2 [18.9-25.8]","22.24005","18.93832","25.82891",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","China","18+  years","Male","22.5 [19.2-26.1]","22.51303","19.21131","26.10190",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","China","18+  years","Both sexes","23.8 [21.5-26.3]","23.80435","21.46713","26.27447",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","China","18+  years","Both sexes","24.1 [21.7-26.5]","24.05727","21.72006","26.52739",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","China","18+  years","Female","25.4 [22.2-29]","25.44822","22.18395","28.96478",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","China","18+  years","Female","25.6 [22.3-29.1]","25.60151","22.33725","29.11808",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Côte d'Ivoire","18+  years","Male","16 [4.3-48.5]","15.95300","4.30050","48.53067",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Côte d'Ivoire","18+  years","Male","18 [4.9-51.1]","18.02575","4.94632","51.06474",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Côte d'Ivoire","18+  years","Both sexes","20.4 [5.2-54.1]","20.37208","5.20195","54.11053",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Côte d'Ivoire","18+  years","Both sexes","22.6 [6-56.3]","22.56325","5.95736","56.31903",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Côte d'Ivoire","18+  years","Female","25.1 [6.5-60.9]","25.13100","6.52624","60.85252",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Côte d'Ivoire","18+  years","Female","27.1 [7.1-62.2]","27.10075","7.11798","62.20782",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Cameroon","18+  years","Male","20.9 [5.1-46.7]","20.86620","5.06285","46.72483",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Cameroon","18+  years","Male","22.8 [5.9-49.8]","22.75346","5.93739","49.77641",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Cameroon","18+  years","Both sexes","29.3 [7.4-57.3]","29.33226","7.44670","57.33984",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Cameroon","18+  years","Both sexes","30.7 [8.3-59]","30.72449","8.31354","59.03502",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Cameroon","18+  years","Female","37.7 [10-64.9]","37.65586","10.03420","64.88706",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Cameroon","18+  years","Female","38.7 [11-66.2]","38.69552","11.03681","66.15736",""
